web-scraper-order,web-scraper-start-url,ulasan
"1626441946-118","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Trimkasih kerja kerasnya.."
"1626441946-176","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saran boleh ya, 1. Tambahin menu Wishlist, supaya bisa simpan buku/judul buku yang akan dibaca selanjutnya. 2. Tambahin vitur highlighter pen, supaya bisa menandai kata-kata/tulisan yang penting. 3. Tambahin dark mode, supaya lebih enak kalau baca di malam hari. Itu dulu aja sih"
"1626441946-121","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Kg bisa di pinjem + harus banyar"
"1626441946-135","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","sekarang udh bisa diinstal, tapi bukunya tdk bisa di unduh. padahal udh bayar langganan full premium package.. masih di android S7.. ada aja masalahnya.."
"1626441946-153","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Bagus aplikasinya.. tapi sayang harga ebook nya sama dengan harga buku cetak, seharusnya bisa lebih murah karena paper less :"")"
"1626441946-177","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sy sudah transaksi non fiksi sebesar 45.00 pembelian melalui gopay hari ini tgl 23 oktober jam 6.00, tapi proses masih tidak berlanjut. Di keterangan, saya belum berlangganan. Lalu saya coba ulang. Hingga 2x transaksi. Masih juga sama. Memang gak bisa otomatis langsung update yaa? Saya rugi jadinya....Ulasan Lengkap"
"1626441946-203","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Suka dengan app ini... Walaupun sebenarnya lebih suka buku dalam bentuk fisik, tapi app ini membantu aku baca buku yang aku mau, yang belum bisa terbit dalam bentuk fisik akibat pandemi ini... Semoga cepet bisa memroduksi buku dalam bentuk fisik lagi ya gramedia... Aamiin"
"1626441946-195","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya pernah beli buku biografi steve jobs dulu sekali, ketika masa2 awal Scoop. Sekarang buku tersebut sudah tidak muncul lagi ketika di ""search"". Sedangkan di cloud juga pasti ada diurutan paling bawah. Bagaimana caranya saya mencari pembelian saya yg dulu."
"1626441946-155","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Hallo, Team Gramedia Digital, Saya sudah berlangganan Non-fiction premium package, tapi kenapa , masih suruh membeli ya, untuk membaca yang ada di list package tersebut?, awal mula berlangganan saya bisa baca semua yg ada di list package tersebut, Tetapi sekarang lebih diarahkan untuk membeli full p...Ulasan Lengkap"
"1626441946-102","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Gramedia tolong dong utk buku2 baru nya diubah lagi ke tampilan lama yg bener2 kayak buku di swipe kanan kiri, ga enak banget baca buku tapi scroll ke bawah tuh..."
"1626441946-143","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sayang sudah bayar buku tapi tidak terdownload ebooknya ..apa ini maksutnya ..balikin duit w lah"
"1626441946-166","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","lengkapi keperluan Debby Henikurniasari nya yaitu yang dionline. Mana yang online?"
"1626441946-99","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Tolong donk format buku seperti yang sedia kala, gak usah ala2 epub. Jadi ribet ! Fontnya juga jelek banget, tolong kembalikan seoerti membaca bu yg scrol kanan kiri !! Balikin ke format pdf ! Macam ebook gratisan aja yg ad di internet"
"1626441946-93","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Syukurlah saran saya didengar:) ukuran hp itu umumnya 5inch jadi kalau baca buku format .pdf selembar tanpa di-zoom in/zoom out, bisa2 jereng tuh mata. makanya saya minta agar ada fitur reflow text, jadi formatnya tuh kayak baca .epub, ukuran hurufnya bisa kita sesuaikan senyamannya pembaca."
"1626441946-187","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Halo, kak. Beberapa malam kemarin sudah berhasil bayar langganan full premium package, tapi kok semua buku masih terkunci ya... Mohon pencerahannya yaa. Sudah email ke cs, tapi belum ada tanggapan. Terima kasih"
"1626441946-173","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya tahu anda tetaplah business monster yang dipikiran anda selalu uang,dengan menggunakan CC sebagai metode pembayaran anda ingin memaksa member anda membayar tiap bulan, padahal loyalitas tidak bisa dipaksakan, ini bukan USA bung! Kalau anda ingin tidak terdisrupsi maka "" Think Globally, Act loca...Ulasan Lengkap"
"1626441946-97","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Aplikasi ini bagus banget jujur >_< aplikasi ini memudahkan kita, para pembaca yang lebih suka membaca di hp daripada di novel. Rekomen banget pake aplikasi ini😊 segala macam fitur yang ada di aplikasi ini mudah untuk digunakan oleh semua kalangan umur👍 Akses masuk ke dalam aplikasi juga mudah ban...Ulasan Lengkap"
"1626441946-185","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya sudah lama berlangganan akun Premium Gramedia Online. Tapi akhir-akhir ini saya kecewa karena susah sekali bahkan hanya untuk mengunduh koran Kompas. Seringkali muncul tombol BELI (padahal sudah berlangganan) atau ada tombol UNDUH namun tidak bisa diunduh. Sudah sering saya me-refresh aplikasin...Ulasan Lengkap"
"1626441946-100","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Mau berlangganan susahnya minta ampun. Padahal sudah beli voucher via Shopee. Setiap klik metode pembayaran, langkah selanjutnya ndak pernah muncul."
"1626441946-156","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Halo gramedia,aq udah beli buku melalui via mastercard,buku yg aq beli tidak kunjung ada di koleksiku,udah mngadukan x melalui via email ,di suruh membuktikan schrenshot bukto pembayaran melalui via playstore sedangkan aq bayar pej via mastercard ada bukti pembayarannya ,bukti penarikan dari rekenin...Ulasan Lengkap"
"1626441946-141","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Koleksi bukunya kurang lengkap terus susah nyari bukunya, ribet nyari kata kuncinya"
"1626441946-161","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Proses pengambilan dana tuh berapa lama ya??? Order tgl 25-4-20. Buku sampai tgl 4-5-20 dengan harus tanya lebih sering k katanya proses pengiriman Senin-Jumat. Setelah buku sampai ternyata gak komplit. Akhirnya tgl 4-5-20 membuat persyaratan u pengajuan pengembalian dana. Sampai sekrg, sudah berkal...Ulasan Lengkap"
"1626441946-147","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Tidak bisa membuat langganan dengan linkaja.macet"
"1626441946-168","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sekarang pembayaran harus pake credit card. Ini menghambat banget buat pecinta buku seperti saya yg g punya credit card. Tolong dipertimbangkan lagi ya, paling g bsa bayar via transfer ATM deh. Karena g semua orang punya credit card."
"1626441946-136","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Kok sekarang gk bisa di buka katanya gk bisa ke hubung sama server, tapi connection nya dilain bisa tuh, tapi sebelum nya bisa."
"1626441946-192","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sy mau install di tablet android (10"") sy, tapi ada tulisannya: ""Perangkat Anda tidak kompatible dengan versi ini"". Pdhl sy sdh biasa membaca tpi didevice (hp) cuma tulisannya kecill, mau pindah ke tablet tpi malah gk bs.. Mohon dibantu/update (pdhl diweb gramed sndri bilang bs diinstall utk tablet ...Ulasan Lengkap"
"1626441946-131","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Kenapa harga buku gramedia digital dgn buku aslinya kok harganya sama harusnya digital lebih murah karena tdk ada cetak buku,dan saran saya agar buku yg sudah di beli bisa di simpan di memori HP"
"1626441946-180","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Mungkin kalo memang meniru system subscription untuk ebook seperti Amazon, mending jiplak sekalian systemnya. Gak ada tag untuk bedain mana ebook premium subs, format pdfscan yang menyulitkan karena margin yg besar jadi harus zoom in zoom out. Tapi overall udah di jalan yg bener, tinggal di improve ...Ulasan Lengkap"
"1626441946-179","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya ga tau harus mulai dari mana, ......... @tpmtpm_ | Ralat setelah dilayani: Sekarang Sudah baik lagi akun saya, sy langsung di dm di ig saya, langsung di perbaiki oleh pihak gramedia. Nih, kalau kawan ada kendala, dm ig nya @gramediadigital langsung di respon dan diperbaiki oleh pihak gramedia. ...Ulasan Lengkap"
"1626441946-171","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sangat Menyebalkan... biasa transaksi dg Gopay.. utk beli ebook di Gramedia Digital.. e... koq sekarang malah dihapus sih.. pembayaran via Gopay... Mau pindah ke Link aja.. duh dapat kode verifkasi nya SUSAH AMAT... dah di ulang 3x tetep aja ga bs... SANGAT MEMYEBALKAN..."
"1626441946-198","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya sudah mengisi data diri dg teliti, tapi kenapa setelah registrasi berhasil, data diri yg ditampillan di profil adalah data diri yg tidak benar . Tgl lahir saya jadi 1 nov 1970. Saya ulangi lagi registrasi , tapi hasilnya sama. Ketika registrasi berhasil tgl lahir yg ditampilkan di profil saya a...Ulasan Lengkap"
"1626441946-111","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Aq beli koran rakyat merdeka 20 April kok yg bisa d download malh edisi lainnn q butuhny edisi itu ngg butuh yg lain"
"1626441946-169","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Apps masih jelek, kayak game pay to win.. saya sudah beli/berlangganan koran tribun Batam, saya beli pada opsi periode 8 Februari 2019, eh ternyata saya hanya bisa buka koran yang mulai 1 Minggu belakangan. Saya malah tidak bisa buka koran yg saya inginkan, ketika saya mau buka... Eh disuruh beli la...Ulasan Lengkap"
"1626441946-125","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Ini gmana to saya sudah beli bukunya dengan transfer dan sudah terima receipt tp ketika saya buka, blm bs dibaca dan masih tertulis harus beli. Ini kenapa? Kalau gak bs dibrli tolong kembalikan uang saya. Terimakasih"
"1626441946-174","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Pembayaran lewat gopay gak bisa, jadi lebih sulit. Mana beli lewat google play ribet, mau lapor cs dulu baru d proses. Kembalikan pembayaran lewat gopay lagi, biar gak ribet kyk gini. Btw, kalau ad complain mending ke ig dripd email, lbh cepat d respon drpd email."
"1626441946-138","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Kenapa sekarang metode pembayarannya cuma ada visa/mastercard tidak ada virtual account"
"1626441946-126","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Halo, Gramedia. Ini kenapa ya saya nggak bisa akses GD? Selalu ada pemberitahuan pembatasan akses aplikasi. Apakah ini memang dari aplikasinya atau hp saya yang bermasalah, ya? Terima kasih"
"1626441946-122","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya tidak dapat download, download awalnya berjalan, tetapi selalu mandeg di bagian yang sama (hal tersebut juga berlaku untuk buku yang lainnya), 4 jam tidak bergerak samasekali. Sudah memakai jaringan lain ternyata juga tidak berubah (padahal untuk download film lancar). Note: masalah selesai den...Ulasan Lengkap"
"1626441946-190","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sistem pembayaran kacau. 2 kali subs, keduanya kacau. Bulan lalu tanggal 2 april transfer lewat dana, diurus tanggal 6 dan tanggal 8 april baru aktif. Sekarang tanggal 4 mei 2020 belum 1 bulan udah habis subs premiumnya. Mau melapor juga malas, dari yang sudah-sudah slow respon minta ampun. Take dow...Ulasan Lengkap"
"1626441946-109","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya kirim email komplain kenapa ga dibales bales ya.."
"1626441946-133","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Kasih fitur Highligt dong, biar bisa ngasih tanda kalimat2 pentingnya. Pengaturan pencahayaannya udah ada sih, tapi masih kurang redup, masih bikin mata cepat lelah."
"1626441946-101","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","lumayan bagus, cukup lengkap semoga kedepannya di tambah koleksi buku bukunya terutama buku dlm bahasa inggris"
"1626441946-116","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Masih belum begitu nyaman menggunakan aplikasikan. Saran : Opsi animasi slide halaman krn cukup melelahkan utk swipe terus terhadal ratusan halaman buku, hadirkan fitur sorting berdasarkan tanggal atau nama dan progress bacaan di koleksiku, beberapa buku masih harus dibeli padahal sudah premium."
"1626441946-98","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Saya habis beli fullyearpremium package 1 year Rp.989.000 tapi sampai saat ini belum berhasil...akun belum berubah..saldo google play sudah kepotong...email ke customer service belum di respon.."
"1626441946-165","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Sudah bisa download tapi belum coba digunakan, kalau aplikasinya ok ditambah lagi bintangnya."
"1626441946-183","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Melalui aplikasi ini, Gramedia terlihat sangat tidak user friendly bahkan menjurus ke sengaja mempersulit konsumen digital. Saya sebagai pembeli premium tidak ditunjukkan bacaan mana yang harus dibeli satuan dan bacaan mana yang sudah dibeli secara paket. Panduan itu penting supaya konsumen tau nila...Ulasan Lengkap"
"1626441946-90","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Perlu banyak perbaikan.. Mau coba yang premium pake mandiri virtual account selalu tertolak karena katanya expired.. Mau pake gopay ga ada terjadi apa-apa.. Edit profile hanya no telp.. Baca dengan mode landscape ga bisa tampil perhalaman tapi harus dua halaman dan ga ada setting nya.. Layar selalu ...Ulasan Lengkap"
"1626441946-175","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Bagaimana caranya saya bisa membaca Ebook yg sudah dibeli agar bisa dibaca di google play book? Baca di aplikasi gramedia sangat sangat tidak nyaman. Tidak ada pengaturan besar kecil sama sekali. Rugi sekali beli ebook di aplikasi gramedia. Kalau begitu bisa gak dibatalkan pembeliannya? Saya mau bel...Ulasan Lengkap"
"1626441946-164","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Akun premium kirain bisa baca semua tanpa terkecuali. Eh ternyata hanya penerbit Gramedia aja. Kenapa coba gak dijelaskan kalau maksud ""SEMUA"" itu ternyata gak semuanya. Pertama dan terakhir deh beli disini. Mending nunggu promo aja, lagipula lebih baik buku fisik drpada e-book. Udh habis kuota, mem...Ulasan Lengkap"
"1626441946-127","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Banyak promonya, banyak buku yang saya suka bisa di unduh tapi kalau tidak sering update sering lambat loding sampai 10 menit lebihlah, ternyata buku hasil unduhanpun penyimpanan di aplikasi gak di internal langsung harus buka aplikasi lagi kalau mau baca jadinya"
"1626441946-160","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Hai, menurut saya ini aplikasinya sudah hampir bagus, lebih bagus lagi di tambah tahun bulan tanggal terbitannya dan di mudahkan untuk searching seperti di perbanyak lagi filter nya dan di update lagi buku"" yang baru keluar bulan ini. Tadi saya sudah nyari buku yang saya cari tapi tidak ada, gimana ...Ulasan Lengkap"
"1626441946-163","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Bismillah. Semoga apk nya bagus ya kak. Soalnya baru download"
"1626441946-150","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Apl nya tidak bisa dibuka ."
"1626441946-144","https://play.google.com/store/apps/details?id=com.appsfoundry.scoop&showAllReviews=true","Download bukunya ko lama banget ya? Padahal udah pake wifi :("
