userName,score,at,content
Agung Muhammad,3,2022-01-11 22:12:47,Kurang
Rizki Ade Putra,2,2022-01-11 16:07:30,"Kebanyakan buku formatnya pdf, sangat tidak nyaman untuk dibaca di hp, padahal tujuan membeli ebook ya supaya bisa baca di hp dengan nyaman. Sebaiknya Gramedia sediakan format yang lebih nyaman seperti kindle punya. Jangan setengah-setengah. Lalu masukan juga fitur note karena sangat berguna untuk buku non fiksi yang kalian jual. Ayolah ini kan toko kalian sendiri dan kalian juga penerbitnya. Google book bisa dicontoh."
Agata Gregori,2,2022-01-11 15:23:38,Buku yg sudah dibeli tiba2 saat dibuka lagi malah muncul keterangan bahwa file tidak ditemukan. Apakah ada solusi dan penyebabnya??
Hikigaya Hachiman,5,2022-01-11 13:07:57,Menyenangkan. Saran saya mungkin bisa menambahkan fitur highlight di gramdig dan juga terkait full premium package bisa ditambahkan pilihan durasi 3 bulan dan 6 bulan. Semoga bisa terwujud 😬
Ian Kian,1,2022-01-11 02:54:57,"Gak ada angin gk ada hujan, tibaba akun ku di suspend, 24 hari. Customercare nya di email gk mbales. Payah payah. Klo mo suspend kasi keterangan lah suspend karena apa.."
Arm's Records,1,2022-01-10 11:57:10,"Saya udah beli dan pulsa saya udah terpotong, tapi kenapa ada tulisan beli lagi"
Rei Ka,3,2022-01-03 09:37:31,"Format ebooknya uda mulai pake .epub, mantap bgt kalau dibaca di google books hhaha, kalau baca di gramedia digital sendiri aplikasinya belum memadai, fiturnya masih minim, seperti berpindah halaman hanya bisa dengan di geser, padahal tap lebih enak, gak ada ada screen awake, gak ada highlight tulisan, dll..."
Val Valdy,3,2022-01-02 15:13:16,"please, bisakah dibuat fitur tombol volume untuk slide page. kayak di google book."
study armytan,3,2021-12-31 09:36:21,"Gramedia perbaiki ui ux nya, kurang nyaman.. semoga format yang bisa epub tapi kayaknya keinginan gue ketinggian.. capek buat zoom in out terus.."
Imam Lutfi,5,2021-12-30 06:53:35,ok baik
Paulus wignyohadi,5,2021-12-19 05:44:12,Mudah dimengerti
Dadang Kusbiantoro,1,2021-12-16 08:21:19,Sudah bayar tp ga bisa dibuka aplikasinya
Voka Panthara Barega,1,2021-12-13 10:54:17,"Ebook sudah beli mahal tapi enggak bisa di download, padahal sinyal bagus. Gimana nih, mau tarik uang gak bisa"
Tasha Amalia,1,2021-12-12 05:49:52,"Aplikasinya gak bisa dibuka, padahal udh langganan nih. :("
Rivan Pangestu,2,2021-12-12 03:33:24,bilangnya diskon 50% pas 12.12 tapi tiap mau bayar jumlahnya tetep harga normal
